Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,103.393074,8164300
2000-01-04,143.531204,144.0625,139.640594,139.75,99.349785,8089800
2000-01-05,139.9375,141.531204,137.25,140.0,99.527527,12177900
2000-01-06,139.625,141.5,137.75,137.75,97.92801700000001,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,103.61526500000001,8066500
2000-01-10,146.25,146.906204,145.031204,146.25,103.97069499999999,5741700
2000-01-11,145.8125,146.093704,143.5,144.5,102.726624,7503700
2000-01-12,144.593704,144.593704,142.875,143.0625,101.704643,6907700
2000-01-13,144.468704,145.75,143.281204,145.0,103.08206899999999,5158300
2000-01-14,146.531204,147.468704,145.968704,146.968704,104.481689,7437300
2000-01-18,145.343704,146.625,145.1875,145.8125,103.65966800000001,6488500
2000-01-19,145.3125,147.0,145.0,147.0,104.503883,6157900
2000-01-20,146.968704,146.968704,143.8125,144.75,102.90435,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,102.682167,6244800
2000-01-24,145.656204,145.843704,139.406204,140.343704,99.771858,7896900
2000-01-25,140.515594,141.9375,139.0,141.9375,100.9049,9942500
2000-01-26,141.0,141.546799,140.093704,140.8125,100.105118,5158100
2000-01-27,141.843704,142.218704,138.125,140.25,99.705238,10922700
2000-01-28,139.4375,140.0625,135.531204,135.875,96.595016,11916200
2000-01-31,135.8125,139.671799,135.0,139.5625,99.216515,10768700
2000-02-01,139.75,141.6875,138.531204,140.9375,100.194008,8419900
2000-02-02,141.281204,142.25,140.375,141.0625,100.282852,6205900
2000-02-03,140.875,143.25,140.0,143.1875,101.793564,7997500
2000-02-04,143.1875,144.0,142.125,142.593704,101.371422,4925400
2000-02-07,142.5625,142.781204,141.4375,142.375,101.215942,5845800
2000-02-08,143.968704,144.5625,143.625,144.3125,102.593315,4936400
2000-02-09,144.468704,144.468704,141.265594,141.281204,100.438293,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,100.638306,6690600
2000-02-11,141.843704,141.9375,138.031204,138.6875,98.59446,9849800
2000-02-14,139.781204,139.781204,138.3125,139.5,99.17205,8528800
2000-02-15,139.25,141.218704,137.796799,141.078094,100.293961,11078300
2000-02-16,140.375,140.9375,138.796799,139.0,98.81658900000001,8845400
2000-02-17,140.4375,140.4375,138.218704,138.281204,98.305573,7584200
2000-02-18,138.875,138.875,134.625,135.3125,96.195114,9409200
2000-02-22,135.1875,136.343704,133.531204,134.968704,95.950676,16415400
2000-02-23,135.625,137.468704,134.5,136.5625,97.083771,12119000
2000-02-24,136.6875,137.031204,133.093704,133.8125,95.128754,17375000
2000-02-25,135.1875,136.718704,133.125,133.328094,94.784401,10559900
2000-02-28,133.375,136.6875,132.718704,136.125,96.772743,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,97.705803,8242500
2000-03-01,137.625,139.0,137.218704,138.4375,98.416733,6868000
2000-03-02,138.6875,139.125,137.343704,138.531204,98.48335300000001,7600200
2000-03-03,140.4375,141.718704,139.718704,141.125,100.32729300000001,12770300
2000-03-06,140.8125,141.343704,138.75,139.75,99.349785,11967100
2000-03-07,140.0,140.156204,135.218704,137.046799,97.42804,20062000
2000-03-08,136.468704,137.843704,135.031204,136.875,97.305901,11808500
2000-03-09,137.25,140.875,136.125,140.875,100.149567,5500900
2000-03-10,140.1875,142.0,139.531204,140.125,99.616394,7924600
2000-03-13,136.6875,140.468704,135.6875,138.593704,98.52776300000001,10540500
2000-03-14,139.281204,140.093704,136.156204,136.625,97.128197,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,99.394226,10300800
2000-03-16,141.625,146.843704,140.875,146.343704,104.03733100000001,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,104.724937,10272900
2000-03-20,146.875,147.343704,144.781204,146.1875,104.19036899999999,12502300
2000-03-21,145.531204,149.75,144.5,149.1875,106.328552,13612600
2000-03-22,149.5625,150.843704,148.6875,150.093704,106.974442,8260000
2000-03-23,149.156204,153.468704,149.156204,152.656204,108.80081200000001,11654500
2000-03-24,152.875,155.75,151.718704,153.5625,109.446678,11462900
2000-03-27,153.375,153.781204,151.8125,151.9375,108.288559,8798600
2000-03-28,151.25,152.984299,150.593704,151.0625,107.66488600000001,6334400
2000-03-29,151.5625,152.484299,149.656204,151.218704,107.77624499999999,6747500
2000-03-30,150.156204,151.921799,147.125,148.6875,105.97216,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,107.174889,9249100
2000-04-03,150.125,151.25,148.6875,151.25,107.79853100000001,8508200
2000-04-04,151.75,153.0,141.390594,150.125,106.99670400000001,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,106.328552,8387200
2000-04-06,150.25,151.6875,149.0,150.484299,107.252792,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,107.932175,6023600
2000-04-10,151.75,153.109299,150.3125,150.843704,107.508972,9624200
2000-04-11,150.0,151.625,148.375,150.406204,107.197174,9006400
2000-04-12,150.375,151.156204,146.156204,146.281204,104.257217,10779200
2000-04-13,147.468704,148.156204,143.781204,144.25,102.80954,12225800
2000-04-14,142.625,142.8125,133.5,136.0,96.929611,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,100.315025,23918200
2000-04-18,140.5625,144.468704,139.781204,144.468704,102.965385,11069200
2000-04-19,144.5,145.125,142.531204,143.125,102.007729,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,102.497704,8537600
2000-04-24,141.5,143.3125,140.5,142.25,101.384079,12893100
2000-04-25,144.625,148.156204,144.4375,148.156204,105.593567,14102000
2000-04-26,147.968704,148.75,146.0,146.484299,104.401894,7711100
2000-04-27,143.0,147.343704,143.0,146.0,104.05675500000001,15595300
2000-04-28,147.0,147.859299,145.0625,145.093704,103.410843,8743400
2000-05-01,146.5625,148.484299,145.843704,147.0625,104.814072,7328300
2000-05-02,145.5,147.125,144.125,144.125,102.720421,9411900
2000-05-03,144.0,144.0,139.781204,140.75,100.315025,12630700
2000-05-04,142.0,142.359299,140.75,141.8125,101.07225,5963600
2000-05-05,141.0625,144.0,140.9375,143.531204,102.297218,7862400
2000-05-08,142.75,143.375,141.843704,142.453094,101.528847,5064100
2000-05-09,143.0625,143.406204,140.265594,141.3125,100.71588100000001,5620300
2000-05-10,140.5,140.968704,137.75,138.125,98.444115,10293900
2000-05-11,140.125,141.5,139.125,141.281204,100.693558,7091100
2000-05-12,141.8125,143.468704,141.625,142.8125,101.785004,5960800
2000-05-15,142.75,145.609299,142.0,145.281204,103.544464,4441300
2000-05-16,146.5625,147.718704,145.3125,146.6875,104.54675300000001,8192200
2000-05-17,145.6875,146.1875,144.468704,145.156204,103.45540600000001,5907200
2000-05-18,145.625,146.3125,143.375,143.375,102.185905,4325600
2000-05-19,142.5625,143.234299,140.406204,141.125,100.582275,6518400
2000-05-22,141.25,141.468704,137.0,140.0625,99.825005,10839400
2000-05-23,140.4375,140.8125,137.5625,138.0,98.355034,7979200
2000-05-24,138.0,140.6875,136.5,140.25,99.958649,11081500
2000-05-25,140.6875,141.8125,137.718704,137.843704,98.243607,8278900
2000-05-26,138.8125,139.6875,137.328094,138.0,98.355034,4814000
2000-05-30,140.0,142.9375,139.468704,142.5,101.562248,5362700
2000-05-31,142.5625,144.0,142.093704,142.8125,101.785004,6056500
2000-06-01,143.6875,145.4375,143.0,145.3125,103.566765,8961600
2000-06-02,148.9375,149.093704,147.484299,147.843704,105.370804,8962200
2000-06-05,147.468704,148.218704,146.875,147.125,104.858589,6998100
2000-06-06,146.625,147.781204,145.906204,146.468704,104.390831,4858900
2000-06-07,146.625,148.0,146.0,147.484299,105.11468500000001,4919500
2000-06-08,147.5,147.75,146.0625,146.906204,104.702621,5723100
2000-06-09,147.5,147.968704,145.625,146.593704,104.479965,3085300
2000-06-12,146.968704,146.968704,144.875,144.875,103.25500500000001,3678900
2000-06-13,144.8125,147.75,144.625,147.593704,105.19265700000001,6558700
2000-06-14,148.25,148.875,147.1875,147.843704,105.370804,6420500
2000-06-15,148.125,148.75,146.843704,148.156204,105.593567,5881200
2000-06-16,148.3125,148.3125,145.875,146.593704,104.72592900000001,5567900
2000-06-19,146.468704,149.156204,146.25,148.468704,106.06540700000001,5106900
2000-06-20,148.1875,148.875,147.0,147.9375,105.685837,6480000
2000-06-21,146.9375,148.4375,146.890594,147.875,105.64126599999999,3115000
2000-06-22,147.5625,147.6875,145.0,145.625,104.03388199999999,7490500
2000-06-23,145.8125,146.125,143.875,144.375,103.14089200000001,4863300
2000-06-26,145.375,146.25,144.875,146.234299,104.469116,5201300
2000-06-27,145.984299,146.718704,145.015594,145.156204,103.69899699999999,4159500
2000-06-28,145.625,146.984299,145.3125,145.5625,103.989243,5347700
2000-06-29,144.75,145.75,143.515594,144.1875,103.006927,6345700
2000-06-30,143.9375,145.593704,143.890594,145.281204,103.788269,7420200
2000-07-03,145.4375,147.4375,145.1875,147.281204,105.21709399999999,1436600
